externalId,name.de,slug.de,name.en,slug.en,name.it,slug.it,parentId
1,New,new,New,new,New,new,
2,Women,women,Women,women,Donna,women,
3,Men,men,Men,men,Uomo,men,
4,Accessories,accessories,Accessories,accessories,Accessori,accessories,
5,Brands,brands,Brands,brands,Brands,brands,
6,Sale,sale,Sale,sale,Sales,sale,
7,Damen,new-women,Women,new-women,Donna,new-women,1
8,Herren,new-men,Men,new-men,Uomo,new-men,1
9,Special,new-special,Special,new-special,Special,new-special,1
10,Bekleidung,women-clothing,Clothing,women-clothing,Abbigliamento,women-clothing,2
11,Schuhe,women-shoes,Shoes,women-shoes,Scarpe,women-shoes,2
12,Taschen,women-bags,Bags,women-bags,Borse,women-bags,2
13,Looks,women-looks,Looks,women-looks,Looks,women-looks,2
14,Bekleidung,men-clothing,Clothing,men-clothing,Abbigliamento,men-clothing,3
15,Schuhe,men-shoes,Shoes,men-shoes,Scarpe,men-shoes,3
16,Taschen,men-bags,Bags,men-bags,Borse,men-bags,3
17,Looks,men-looks,Looks,men-looks,Looks,men-looks,3
118,Damen,accessories-women,Women,accessories-women,Donna,accessories-women,4
119,Herren,accessories-men,Men,accessories-men,Uomo,accessories-men,4
151,Damen,sale-women,Women,sale-women,Donna,sale-women,6
154,Herren,sale-men,Men,sale-men,Uomo,sale-men,6
64,Bekleidung,new-women-clothing,Clothing,new-women-clothing,Abbigliamento,new-women-clothing,7
65,Schuhe,new-women-shoes,Shoes,new-women-shoes,Scarpe,new-women-shoes,7
66,Taschen,new-women-bags,Bags,new-women-bags,Borse,new-women-bags,7
67,Looks,new-women-looks,Looks,new-women-looks,Looks,new-women-looks,7
68,Bekleidung,new-men-clothing,Clothing,new-men-clothing,Abbigliamento,new-men-clothing,8
69,Schuhe,new-men-shoes,Shoes,new-men-shoes,Scarpe,new-men-shoes,8
70,Taschen,new-men-bags,Bags,new-men-bags,Borse,new-men-bags,8
71,Looks,new-men-looks,Looks,new-men-looks,Looks,new-men-looks,8
72,Fall in love,new-special-fall-in-love,Fall in love,new-special-fall-in-love,Fall in love,new-special-fall-in-love,9
73,Just go,new-special-just-go,Just go,new-special-just-go,Just go,new-special-just-go,9
20,Jacken,women-clothing-jackets,Jackets,women-clothing-jackets,Giacche,women-clothing-jackets,10
21,Blazer,women-clothing-blazer,Blazer,women-clothing-blazer,Blazer,women-clothing-blazer,10
22,Oberteile,women-clothing-tops,Tops,women-clothing-tops,Tops,women-clothing-tops,10
23,Blusen,women-clothing-shirts,Shirts,women-clothing-shirts,Camicie,women-clothing-shirts,10
24,T-shirts,women-clothing-t-shirts,T-shirts,women-clothing-t-shirts,T-shirt,women-clothing-t-shirts,10
25,Jeans,women-clothing-jeans,Jeans,women-clothing-jeans,Jeans,women-clothing-jeans,10
26,Hosen,women-clothing-trouser,Trouser,women-clothing-trouser,Pantaloni,women-clothing-trouser,10
27,Röcke,women-clothing-skirts,Skirts,women-clothing-skirts,Gonne,women-clothing-skirts,10
28,Kleider,women-clothing-dresses,Dresses,women-clothing-dresses,Abiti,women-clothing-dresses,10
29,Bademode,women-clothing-swimwear,Swimwear,women-clothing-swimwear,Costumi da bagno,women-clothing-swimwear,10
30,Sneakers,women-shoes-sneakers,Sneakers,women-shoes-sneakers,Sneakers,women-shoes-sneakers,11
