sku,quantityOnStock,supplyChannel,expectedDelivery,restockableInDays
M0E0000000001,143,,2025-11-28,13
M0E0000000002,200,,,
M0E0000000003,121,,,
M0E0000000004,139,,,
M0E0000000005,136,,,
M0E0000000006,103,,,8
M0E0000000007,115,,,
M0E0000000008,60,,2025-11-30,
M0E0000000009,127,,,
M0E0000000010,121,,,
M0E0000000011,112,,,13
M0E0000000012,182,,,
M0E0000000013,118,,,
M0E0000000014,126,,,
M0E0000000015,186,,2025-12-03,
M0E0000000016,94,,,5
M0E0000000017,122,,,
M0E0000000018,162,,,
M0E0000000019,141,,,
M0E0000000020,97,,,
M0E0000000021,90,,,11
M0E0000000022,109,,2025-11-29,
M0E0000000023,131,,,
M0E0000000024,119,,,
M0E0000000025,200,,,
M0E0000000026,187,,,11
M0E0000000027,79,,,
M0E0000000028,125,,,
M0E0000000029,171,,2025-11-27,
M0E0000000030,74,,,
M0E0000000031,160,,,14
M0E0000000032,82,,,
M0E0000000033,172,,,
M0E0000000034,71,,,
M0E0000000035,190,,,
M0E0000000036,60,,2025-11-29,10
M0E0000000037,151,,,
M0E0000000038,193,,,
M0E0000000039,165,,,
M0E0000000040,66,,,
M0E0000000041,163,,,4
M0E0000000042,91,,,
M0E0000000043,89,,2025-12-03,
M0E0000000044,155,,,
M0E0000000045,121,,,
M0E0000000046,112,,,7
M0E0000000047,179,,,
M0E0000000048,147,,,
M0E0000000049,159,,,
M0E0000000050,108,,2025-12-08,
M0E0000000051,95,,,11
M0E0000000052,191,,,
M0E0000000053,120,,,
M0E0000000054,179,,,
M0E0000000055,59,,,
M0E0000000056,91,,,10
M0E0000000057,189,,2025-12-08,
M0E0000000058,65,,,
M0E0000000059,89,,,
M0E0000000060,126,,,
M0E0000000061,116,,,7
M0E0000000062,192,,,
M0E0000000063,83,,,
M0E0000000064,195,,2025-11-27,
M0E0000000065,175,,,
M0E0000000066,73,,,10
M0E0000000067,194,,,
M0E0000000068,180,,,
M0E0000000069,176,,,
M0E0000000070,113,,,
M0E0000000071,143,,2025-12-10,9
M0E0000000072,58,,,
M0E0000000073,164,,,
M0E0000000074,106,,,
M0E0000000075,57,,,
M0E0000000076,84,,,9
M0E0000000077,87,,,
M0E0000000078,186,,2025-12-03,
M0E0000000079,154,,,
M0E0000000080,141,,,
M0E0000000081,74,,,8
M0E0000000082,171,,,
M0E0000000083,146,,,
M0E0000000084,177,,,
M0E0000000085,74,,2025-12-01,
M0E0000000086,136,,,4
M0E0000000087,78,,,
M0E0000000088,88,,,
M0E0000000089,144,,,
M0E0000000090,94,,,
M0E0000000091,94,,,8
M0E0000000092,64,,2025-11-30,
M0E0000000093,63,,,
M0E0000000094,175,,,
M0E0000000095,184,,,
M0E0000000096,92,,,3
M0E0000000097,138,,,
M0E0000000098,129,,,
M0E0000000099,115,,2025-12-03,
M0E0000000100,174,,,
M0E0000000101,140,,,14
M0E0000000102,182,,,
M0E0000000103,109,,,
M0E0000000104,158,,,
M0E0000000105,105,,,
M0E0000000106,94,,2025-12-02,9
M0E0000000107,60,,,
M0E0000000108,142,,,
M0E0000000109,131,,,
M0E0000000110,79,,,
M0E0000000111,70,,,4
M0E0000000112,89,,,
M0E0000000113,171,,2025-11-28,
M0E0000000114,186,,,
M0E0000000115,144,,,
M0E0000000116,68,,,7
M0E0000000117,118,,,
M0E0000000118,55,,,
M0E0000000119,136,,,
M0E0000000120,141,,2025-12-08,
M0E0000000121,200,,,10
M0E0000000122,148,,,
M0E0000000123,53,,,
M0E0000000124,170,,,
M0E0000000125,194,,,
M0E0000000126,92,,,5
M0E0000000127,62,,2025-12-05,
M0E0000000128,186,,,
M0E0000000129,131,,,
M0E0000000130,88,,,
M0E0000000131,164,,,7
M0E0000000132,184,,,
M0E0000000133,200,,,
M0E0000000134,120,,2025-11-30,
M0E0000000135,82,,,
M0E0000000136,173,,,10
M0E0000000137,189,,,
M0E0000000138,102,,,
M0E0000000139,164,,,
M0E0000000140,76,,,
M0E0000000141,187,,2025-12-01,10
M0E0000000142,99,,,
M0E0000000143,196,,,
M0E0000000144,174,,,
M0E0000000145,186,,,
M0E0000000146,190,,,4
M0E0000000147,164,,,
M0E0000000148,190,,2025-12-08,
M0E0000000149,110,,,
M0E0000000150,115,,,
M0E0000000151,60,,,4
M0E0000000152,100,,,
M0E0000000153,186,,,
M0E0000000154,135,,,
M0E0000000155,82,,2025-12-06,
M0E0000000156,110,,,8
M0E0000000157,125,,,
M0E0000000158,119,,,
M0E0000000159,183,,,
M0E0000000160,185,,,
M0E0000000161,191,,,11
M0E0000000162,161,,2025-11-30,
M0E0000000163,126,,,
M0E0000000164,136,,,
M0E0000000165,169,,,
M0E0000000166,96,,,4
M0E0000000167,128,,,
M0E0000000168,179,,,
M0E0000000169,152,,2025-11-27,
M0E0000000170,104,,,
M0E0000000171,139,,,5
