sku,quantityOnStock,supplyChannel,expectedDelivery,restockableInDays
M0E0000000004,139,dach,,
M0E0000000005,136,uk,,
M0E0000000009,127,dach,,
M0E0000000010,121,uk,,
M0E0000000014,126,dach,,
M0E0000000015,186,uk,2025-12-03,
M0E0000000019,141,dach,,
M0E0000000020,97,uk,,
M0E0000000024,119,dach,,
M0E0000000025,200,uk,,
M0E0000000029,171,dach,2025-11-27,
M0E0000000030,74,uk,,
M0E0000000034,71,dach,,
M0E0000000035,190,uk,,
M0E0000000039,165,dach,,
M0E0000000040,66,uk,,
M0E0000000044,155,dach,,
M0E0000000045,121,uk,,
M0E0000000049,159,dach,,
M0E0000000050,108,uk,2025-12-08,
M0E0000000054,179,dach,,
M0E0000000055,59,uk,,
M0E0000000059,89,dach,,
M0E0000000060,126,uk,,
M0E0000000064,195,dach,2025-11-27,
M0E0000000065,175,uk,,
M0E0000000069,176,dach,,
M0E0000000070,113,uk,,
M0E0000000074,106,dach,,
M0E0000000075,57,uk,,
M0E0000000079,154,dach,,
M0E0000000080,141,uk,,
M0E0000000084,177,dach,,
M0E0000000085,74,uk,2025-12-01,
M0E0000000089,144,dach,,
M0E0000000090,94,uk,,
M0E0000000094,175,dach,,
M0E0000000095,184,uk,,
M0E0000000099,115,dach,2025-12-03,
M0E0000000100,174,uk,,
M0E0000000104,158,dach,,
M0E0000000105,105,uk,,
M0E0000000109,131,dach,,
M0E0000000110,79,uk,,
M0E0000000114,186,dach,,
M0E0000000115,144,uk,,
M0E0000000119,136,dach,,
M0E0000000120,141,uk,2025-12-08,
M0E0000000124,170,dach,,
M0E0000000125,194,uk,,
M0E0000000129,131,dach,,
M0E0000000130,88,uk,,
M0E0000000134,120,dach,2025-11-30,
M0E0000000135,82,uk,,
M0E0000000139,164,dach,,
M0E0000000140,76,uk,,
M0E0000000144,174,dach,,
M0E0000000145,186,uk,,
M0E0000000149,110,dach,,
M0E0000000150,115,uk,,
M0E0000000154,135,dach,,
M0E0000000155,82,uk,2025-12-06,
M0E0000000159,183,dach,,
M0E0000000160,185,uk,,
M0E0000000164,136,dach,,
M0E0000000165,169,uk,,
M0E0000000169,152,dach,2025-11-27,
M0E0000000170,104,uk,,
M0E0000000174,124,dach,,
M0E0000000175,192,uk,,
M0E0000000179,57,dach,,
M0E0000000180,61,uk,,
M0E0000000184,140,dach,,
M0E0000000185,144,uk,,
M0E0000000189,163,dach,,
M0E0000000190,97,uk,2025-12-05,
M0E0000000194,77,dach,,
M0E0000000195,89,uk,,
M0E0000000199,193,dach,,
M0E0000000200,128,uk,,
M0E0000000204,197,dach,2025-12-03,
M0E0000000205,114,uk,,
M0E0000000209,196,dach,,
M0E0000000210,160,uk,,
M0E0000000214,171,dach,,
M0E0000000215,172,uk,,
M0E0000000219,154,dach,,
M0E0000000220,178,uk,,
M0E0000000224,74,dach,,
M0E0000000225,77,uk,2025-12-03,
M0E0000000229,65,dach,,
M0E0000000230,104,uk,,
M0E0000000234,76,dach,,
M0E0000000235,172,uk,,
M0E0000000239,170,dach,2025-12-02,
M0E0000000240,173,uk,,
M0E0000000244,109,dach,,
M0E0000000245,165,uk,,
M0E0000000249,57,dach,,
M0E0000000250,78,uk,,
M0E0000000254,163,dach,,
M0E0000000255,160,uk,,
M0E0000000259,89,dach,,
M0E0000000260,135,uk,2025-12-07,
M0E0000000264,99,dach,,
M0E0000000265,149,uk,,
M0E0000000269,65,dach,,
M0E0000000270,104,uk,,
M0E0000000274,88,dach,2025-12-03,
M0E0000000275,172,uk,,
M0E0000000279,59,dach,,
M0E0000000280,152,uk,,
M0E0000000284,186,dach,,
M0E0000000285,120,uk,,
M0E0000000289,107,dach,,
M0E0000000290,92,uk,,
M0E0000000294,168,dach,,
M0E0000000295,147,uk,2025-12-04,
M0E0000000299,101,dach,,
M0E0000000300,88,uk,,
M0E0000000304,186,dach,,
M0E0000000305,182,uk,,
