sku,quantityOnStock,supplyChannel
M0E20000000DJ2M,5,sunrise-store-vienna
M0E20000000DK2O,1,sunrise-store-berlin
M0E20000000ER8N,87,sunrise-store-munich
M0E20000000DW5P,1,sunrise-store-hamburg
M0E20000000EGPB,551,sunrise-store-vienna
M0E20000000F586,854,sunrise-store-cologne
M0E20000000E3T6,190,sunrise-store-cologne
M0E20000000DKG3,5,sunrise-store-vienna
M0E20000000ES6Z,9,sunrise-store-hamburg
M0E20000000E5CB,0,sunrise-store-berlin
M0E20000000F596,6,sunrise-store-munich
M0E20000000E3FG,10,sunrise-store-vienna
M0E20000000DUHC,769,sunrise-store-hamburg
M0E20000000E84M,6,sunrise-store-vienna
M0E20000000DQ9A,5,sunrise-store-berlin
M0E20000000DQ28,684,sunrise-store-cologne
M0E20000000DT0S,7,sunrise-store-hamburg
M0E20000000E3PK,124,sunrise-store-vienna
M0E20000000FEOQ,3,sunrise-store-berlin
M0E20000000ESAI,385,sunrise-store-berlin
M0E20000000E3UN,5,sunrise-store-hamburg
M0E20000000E2I1,1,sunrise-store-hamburg
M0E20000000DHUW,0,sunrise-store-berlin
M0E20000000DGI3,4,sunrise-store-berlin
M0E20000000E2X8,3,sunrise-store-vienna
M0E20000000E4KI,3,sunrise-store-munich
M0E20000000F6X5,681,sunrise-store-cologne
M0E20000000EKQQ,8,sunrise-store-munich
M0E20000000E9FL,8,sunrise-store-hamburg
M0E20000000ESBV,8,sunrise-store-vienna
M0E20000000DSTW,0,sunrise-store-berlin
M0E20000000DLYZ,0,sunrise-store-munich
M0E20000000E1O1,9,sunrise-store-munich
M0E20000000DZMA,430,sunrise-store-hamburg
M0E20000000E4P8,5,sunrise-store-munich
M0E20000000DHVH,0,sunrise-store-berlin
M0E20000000EGKK,1,sunrise-store-cologne
M0E20000000E31L,4,sunrise-store-munich
M0E20000000E2FO,1,sunrise-store-berlin
M0E20000000DW07,365,sunrise-store-berlin
M0E20000000EJOA,149,sunrise-store-vienna
M0E20000000DWCP,978,sunrise-store-cologne
M0E20000000E843,1,sunrise-store-munich
M0E20000000DVG4,387,sunrise-store-berlin
M0E20000000E5DI,6,sunrise-store-hamburg
M0E20000000ECD6,4,sunrise-store-munich
