sku,quantityOnStock,supplyChannel
1111,1,
2222,46,
3333,361,
A0E200000001UTQ,46,
A0E200000001UTR,2,
A0E200000001UTU,46,
A0E200000001UTV,10,
A0E200000001UTY,2,
A0E200000001UV6,718,
A0E200000001UV7,8,
A0E200000001UV9,10,
A0E200000001UVA,8,
A0E200000001UVB,82,
A0E200000001UVC,46,
A0E200000001WBD,191,
A0E200000001WBL,929,
A0E200000001WBM,7,
A0E200000001WBV,5,
A0E200000001WBW,5,
A0E200000001WBX,569,
A0E200000001WBY,46,
A0E200000001WBZ,9,
A0E200000001WC0,9,
A0E200000001WC1,803,
A0E200000001WC2,1,
A0E200000001WC3,1,
A0E200000001WC5,696,
A0E200000001WC6,763,
A0E200000001WCF,3,
A0E200000001WCH,842,
A0E200000001WCI,46,
A0E200000001WCP,192,
A0E200000001WDK,10,
A0E200000001WDL,232,
A0E200000001WDM,300,
A0E200000001WDO,4,
A0E200000001WDP,106,
A0E200000001WDR,8,
A0E200000001WDS,8,
A0E200000001WDT,6,
A0E200000001WDU,66,
A0E200000001WE4,8,
A0E200000001WE5,6,
A0E200000001WE6,66,
A0E200000001WE9,10,
A0E200000001WED,10,
A0E200000001WEE,4,
A0E200000001WF7,7,
A0E200000001WF9,46,
A0E200000001WFA,9,
A0E200000001WFB,10,
A0E200000001WFC,10,
A0E200000001WFD,615,
A0E200000001WFI,10,
A0E200000001WFJ,2,
A0E200000001WFK,150,
A0E200000001WFM,4,
A0E200000001WFN,6,
A0E200000001WFO,24,
A0E200000001WFR,10,
A0E200000001WFS,489,
A0E200000001WFT,4,
A0E200000001WG1,10,
A0E200000001WG2,8,
A0E200000001WG3,10,
A0E200000001WGB,2,
A0E200000001WGC,4,
A0E200000001WGL,46,
A0E200000001WGM,7,
A0E200000001WGN,5,
A0E200000001WGV,5,
A0E200000001WGW,693,
A0E200000001WH6,5,
A0E200000001WH7,5,
A0E200000001WHF,9,
A0E200000001WHP,46,
A0E200000001WHQ,10,
A0E200000001WHS,442,
A0E200000001WHT,46,
A0E200000001WHZ,9,
A0E200000001WI9,277,
A0E200000001WIJ,46,
A0E200000001WIK,7,
A0E200000001WIT,5,
A0E200000001WJ3,46,
A0E200000001WJD,9,
A0E200000001WJE,9,
A0E200000001WJN,952,
A0E200000001WJX,2,
A0E200000001WJY,632,
A0E200000001WK7,700,
A0E200000001WKI,6,
A0E200000001WKR,866,
A0E200000001WKS,8,
A0E200000001WL1,4,
A0E200000001WLB,10,
A0E200000001WM5,1,
A0E200000001WM6,9,
A0E200000001WMF,3,
A0E200000001WMP,840,
A0E200000001WN9,588,
A0E200000001WNA,354,
A0E200000001WNJ,4,
A0E200000001WNT,627,
A0E200000001WNU,46,
A0E200000001WO3,5,
A0E200000001WON,46,
A0E200000001WOO,3,
A0E200000001WOX,881,
A0E200000001WOY,46,
A0E200000001WOZ,3,
A0E200000001WP7,9,
A0E200000001WPH,5,
A0E200000001WPR,8,
A0E200000001WPS,8,
A0E200000001WQB,628,
A0E200000001WQL,10,
A0E200000001WQV,731,
A0E200000001WR6,3,
A0E200000001WRF,5,
A0E200000001WRG,5,
A0E200000001WRP,187,
A0E200000001WRZ,8,
A0E200000001YKG,482,
A0E200000001YKH,46,
A0E200000001YKI,7,
A0E200000001YKO,46,
A0E200000001YKP,1,
A0E200000001YKQ,5,
A0E200000001YKR,483,
A0E200000001YL1,1,
A0E200000001YL2,5,
A0E200000001YL4,46,
A0E200000001YL5,7,
A0E200000001YL6,8,
A0E200000001YL7,356,
A0E200000001YL8,46,
A0E200000001YL9,1,
A0E200000001YLA,5,
A0E200000001YLB,9,
A0E200000001YLC,987,
A0E200000001YLD,191,
A0E200000001YLE,9,
A0E200000001YLF,3,
A0E200000001YLG,861,
A0E200000001YLJ,648,
A0E200000001YLK,318,
A0E200000001YLL,2,
A0E200000001YLM,10,
A0E200000001YLN,522,
A0E200000001YLP,6,
A0E200000001YLQ,4,
A0E200000001YLR,396,
A0E200000001YLS,46,
A0E200000001YLT,10,
A0E200000001YLU,8,
A0E200000001YLV,862,
A0E200000001YLX,4,
A0E200000001YLY,2,
A0E200000001YLZ,2,
A0E200000001YM0,192,
A0E200000001YM1,6,
A0E200000001YM2,4,
A0E200000001YM3,396,
A0E200000001YM4,46,
A0E200000001YM5,10,
A0E200000001YM6,8,
A0E200000001YM7,862,
A0E200000001YM8,46,
A0E200000001YM9,4,
A0E200000001YMA,10,
A0E200000001YMB,8,
A0E200000001YMC,10,
A0E200000001YMD,968,
A0E200000001YME,4,
A0E200000001YMF,2,
A0E200000001YMH,842,
A0E200000001YMI,8,
A0E200000001YMJ,6,
A0E200000001YMK,1,
A0E200000001YML,459,
A0E200000001YMM,653,
A0E200000001YMN,3,
A0E200000001YMO,5,
A0E200000001YMP,333,
A0E200000001YMX,672,
A0E200000001YMY,46,
A0E200000001YMZ,4,
A0E200000001YN8,2,
A0E200000001YN9,672,
A0E200000001YNB,41,
A0E200000001YNC,1,
A0E200000001YND,3,
A0E200000001YNE,1,
A0E200000001YNF,905,
A0E200000001YNI,585,
A0E200000001YNJ,779,
A0E200000001YNK,9,
A0E200000001YNL,4,
A0E200000001YNM,42,
A0E200000001YNN,6,
A0E200000001YNO,4,
A0E200000001YNP,8,
A0E200000001YNQ,906,
A0E200000001YNR,10,
A0E200000001YNS,8,
A0E200000001YNU,780,
A0E200000001YNV,4,
A0E200000001YNX,586,
A0E200000001YNY,654,
A0E200000001YO0,4,
A0E200000001YO1,8,
A0E200000001YSH,10,
A0E200000001YSR,46,
A0E200000001YSS,7,
A0E200000001YST,5,
A0E200000001YSV,46,
A0E200000001YSW,1,
A0E200000001YSX,9,
A0E200000001YSY,31,
A0E200000001YSZ,1,
A0E200000001YT1,8,
A0E200000001YT3,46,
A0E200000001YT4,7,
A0E200000001YT7,46,
A0E200000001YT8,1,
A0E200000001YT9,9,
A0E200000001YTA,7,
A0E200000001YTB,788,
A0E200000001YTE,10,
A0E200000001YTF,662,
A0E200000001YTH,4,
A0E200000001YTJ,535,
A0E200000001YTK,46,
A0E200000001YTL,7,
A0E200000001YTM,7,
A0E200000001YTO,46,
A0E200000001YTP,3,
A0E200000001YTQ,1,
A0E200000001YTT,9,
A0E200000001YTU,789,
A0E200000001YTV,46,
A0E200000001YTW,9,
A0E200000001YTX,3,
A0E200000001YTY,663,
A0E200000001YTZ,46,
A0E200000001YU0,46,
A0E200000001YU1,3,
A0E200000001YU2,1,
A0E200000001YU3,857,
A0E200000001YU4,5,
A0E200000001YU5,9,
A0E200000001YU6,789,
A0E200000001YU8,9,
A0E200000001YU9,3,
A0E200000001YUA,10,
A0E200000001YUB,410,
A0E200000001YUC,769,
A0E200000001YUD,9,
A0E200000001YUE,3,
A0E200000001YUF,1,
A0E200000001YUP,1,
A0E200000001YUQ,5,
A0E200000001YUR,323,
A0E200000001YUT,46,
A0E200000001YUU,1,
A0E200000001YUV,9,
A0E200000001YUW,473,
A0E200000001YUX,46,
A0E200000001YUY,5,
A0E200000001YV1,1,
A0E200000001YVT,581,
A0E200000001YVU,9,
A0E200000001YVV,5,
A0E200000001YVW,3,
A0E200000001YVX,454,
A0E200000001YVZ,8,
A0E200000001YW0,1,
A0E200000001YW1,133,
A0E200000001YW3,7,
A0E200000001YWD,134,
A0E200000001YWF,46,
A0E200000001YWG,7,
A0E200000001YWX,494,
A0E200000001YWY,8,
A0E200000001YX7,2,
A0E200000001YX8,6,
A0E200000001YX9,494,
A0E200000001YXA,834,
A0E200000001YXB,6,
A0E200000001YXC,4,
A0E200000001YXD,8,
A0E200000001YXE,708,
A0E200000001YXF,46,
A0E200000001YXG,6,
A0E200000001YXH,10,
A0E200000001YXJ,46,
A0E200000001YXL,4,
A0E200000001YXM,872,
A0E200000001YXN,46,
A0E200000001YXO,4,
A0E200000001YXU,620,
A0E200000001YXV,5,
A0E200000001YXY,46,
A0E200000001YXZ,9,
A0E200000001YY2,746,
A0E200000001YY3,46,
A0E200000001YYB,46,
A0E200000001Z0L,10,
A0E200000001Z0T,1,
A0E200000001Z0U,693,
A0E200000001Z0V,3,
A0E200000001Z0W,7,
A0E200000001Z0X,5,
A0E200000001Z0Y,567,
A0E200000001Z0Z,7,
A0E200000001Z12,819,
A0E200000001Z1D,6,
A0E200000001Z1E,6,
A0E200000001Z1F,208,
A0E200000001Z1G,46,
A0E200000001Z1N,46,
A0E200000001Z1O,7,
A0E200000001Z1P,1,
A0E200000001Z33,1,
A0E2000000020WL,5,
A0E2000000020WN,46,
A0E2000000020WO,7,
A0E2000000020WP,7,
A0E2000000020WQ,1,
A0E2000000020WR,709,
A0E2000000020WS,1,
A0E2000000020WT,1,
A0E2000000020WU,5,
A0E2000000020WV,583,
A0E2000000020X5,1,
A0E2000000020X6,5,
A0E2000000021F1,123,
A0E2000000021F2,1,
A0E2000000021F3,5,
A0E2000000021F4,3,
A0E2000000021F5,987,
A0E2000000021F7,9,
A0E2000000021RZ,691,
A0E2000000021S0,690,
A0E2000000021S1,46,
A0E2000000021S2,10,
A0E2000000021S3,10,
A0E2000000021S4,564,
A0E2000000021S5,2,
A0E2000000021S6,6,
A0E2000000021S7,4,
A0E2000000021SE,1,
A0E2000000021SF,3,
A0E2000000021SG,313,
A0E2000000021SH,7,
A0E2000000021SX,46,
A0E2000000021SY,10,
A0E2000000021SZ,4,
A0E2000000021T0,478,
A0E2000000021T1,46,
A0E2000000021T2,2,
A0E2000000021T3,4,
A0E2000000021T4,352,
A0E2000000021T7,8,
A0E2000000021T8,226,
A0E2000000021T9,46,
A0E2000000021TA,502,
A0E2000000021TU,288,
A0E2000000021TV,46,
A0E2000000021TW,10,
A0E2000000021TX,8,
A0E2000000021TY,162,
A0E2000000021TZ,46,
A0E2000000021U0,2,
A0E2000000021U1,10,
A0E2000000021U2,414,
A0E2000000021U3,46,
A0E2000000021U7,46,
A0E2000000021U8,10,
A0E2000000021U9,8,
A0E2000000021UA,289,
A0E2000000021UC,1,
A0E2000000021UD,5,
A0E2000000021UE,163,
A0E2000000021UF,46,
A0E2000000021UG,5,
A0E2000000021UH,9,
A0E2000000021UI,37,
A0E2000000021UK,1,
A0E2000000021UL,10,
A0E2000000021UM,10,
A0E2000000021UV,862,
A0E2000000021V5,8,
A0E2000000021V6,667,
A0E2000000021V7,862,
A0E2000000021V8,10,
A0E2000000021V9,3,
A0E2000000021VA,203,
A0E2000000021VB,863,
A0E2000000021VC,7,
A0E2000000021VD,5,
A0E2000000021VE,77,
A0E2000000021VF,46,
A0E2000000021VG,1,
A0E2000000021VH,9,
A0E2000000021VI,940,
A0E2000000021VJ,46,
A0E2000000021VK,4,
A0E2000000021VM,3,
A0E2000000021VN,901,
A0E2000000021VO,5,
A0E2000000021VP,5,
A0E2000000021VQ,7,
A0E2000000021VR,775,
A0E2000000021VS,9,
A0E2000000021VZ,523,
A0E2000000021W0,5,
A0E2000000021XD,587,
A0E2000000021XN,8,
A0E2000000021XO,7,
A0E2000000021XP,227,
A0E2000000021XQ,46,
A0E2000000021XR,9,
A0E2000000021XS,1,
A0E2000000021XU,46,
A0E2000000021XV,3,
A0E2000000021XW,5,
A0E2000000021XX,965,
A0E2000000021XY,46,
A0E2000000021XZ,7,
A0E2000000021Y0,7,
A0E2000000021Y2,46,
A0E2000000021Y3,9,
A0E2000000022GT,2,
A0E2000000022GU,4,
A0E2000000022H3,638,
A0E2000000022HD,46,
A0E2000000022HN,678,
A0E2000000022HX,10,
A0E2000000022I7,28,
A0E2000000022JL,6,
A0E2000000022JV,10,
A0E2000000022JW,10,
A0E2000000022K5,868,
A0E2000000022K6,936,
A0E2000000022K7,10,
A0E2000000022K9,742,
A0E2000000022KA,6,
A0E2000000022KB,576,
A0E2000000022KH,2,
A0E2000000022KQ,975,
A0E2000000022M4,6,
A0E2000000022MD,1,
A0E2000000022MF,403,
A0E2000000022MG,937,
A0E2000000022MH,5,
A0E2000000022MN,743,
A0E2000000022MP,2,
A0E2000000022MX,46,
A0E2000000022MY,7,
A0E2000000022N7,1,
A0E2000000022N8,175,
A0E2000000022N9,46,
A0E2000000022NR,9,
A0E2000000022NS,7,
A0E2000000022NT,46,
A0E2000000022O1,427,
A0E2000000022O2,46,
A0E2000000022Q9,701,
A0E2000000022QM,89,
A0E2000000022R4,3,
A0E2000000022RF,7,
A0E2000000022RX,914,
A0E2000000022UF,46,
A0E2000000022UG,3,
A0E2000000022WN,7,
A0E2000000023A9,10,
A0E2000000023AJ,46,
A0E2000000023AK,9,
A0E2000000023AT,1,
A0E2000000023AU,91,
A0E2000000023B3,46,
A0E2000000023B6,91,
A0E2000000023B7,450,
A0E2000000023B8,10,
A0E2000000023B9,4,
A0E2000000023BB,9,
A0E2000000024AX,578,
A0E2000000024AZ,10,
A0E2000000024B0,346,
A0E2000000024B1,46,
A0E2000000024B2,5,
A0E2000000024B3,3,
A0E2000000024B4,220,
A0E2000000024B5,46,
A0E2000000024B6,8,
A0E2000000024B7,6,
A0E2000000024B8,10,
A0E2000000024BB,10,
A0E2000000024BC,8,
A0E2000000024BD,132,
A0E2000000024BE,792,
A0E2000000024BG,5,
A0E2000000024BH,579,
A0E2000000024BL,453,
