productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew,variantKey,excludedInStore,publish
main,1,M0E0000000001,EUR 17000;USD 18700,standard,Sale>Men>Shoes;Men>Shoes>Sneakers,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,Sneakers New Balance multi,,newbalance-sneakers-MT980BB-multi,,,,Sneakers New Balance multi,,newbalance-sneakers-MT980BB-multi,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,black,multi,,multi,,,,business,men,s15,,,,,M0E0000000001,uk,TRUE
,2,M0E0000000002,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,black,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000002,uk,TRUE
,3,M0E0000000003,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,black,multi,,multi,,,,evening,men,s15,,,,,M0E0000000003,uk,TRUE
,4,M0E0000000004,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,grey,multi,,multi,,,,business,men,s15,,,,,M0E0000000004,uk,TRUE
,5,M0E0000000005,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,grey,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000005,uk,TRUE
,6,M0E0000000006,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,grey,multi,,multi,,,,evening,men,s15,,,,,M0E0000000006,uk,TRUE
,7,M0E0000000007,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,beige,multi,,multi,,,,business,men,s15,,,,,M0E0000000007,uk,TRUE
,8,M0E0000000008,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,beige,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000008,uk,TRUE
,9,M0E0000000009,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,beige,multi,,multi,,,,evening,men,s15,,,,,M0E0000000009,uk,TRUE
,10,M0E0000000010,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,white,multi,,multi,,,,business,men,s15,,,,,M0E0000000010,uk,TRUE
,11,M0E0000000011,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,white,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000011,uk,TRUE
